PASCO,,FLIR
208.35,-0.097696,208.333,322.5689697
208.65,-0.097698,208.666,325.9607239
209.15,-0.097694,209.133,324.203186
209.45,-0.09787,209.466,327.1052856
209.95,-0.097524,209.933,329.9654541
210.35,-0.097696,210.333,328.9755249
210.65,-0.097694,210.666,330.326416
211.05,-0.097868,211.066,327.2845459
211.4,-0.097696,211.4,327.5529785
211.85,-0.097352,211.866,321.5595703
212.35,-0.09787,212.333,323.8249817
212.75,-0.097524,212.733,321.3611145
213.15,-0.097868,213.133,324.3649292
213.45,-0.097696,213.466,322.6399841
213.85,-0.097694,213.866,328.2452393
214.2,-0.097696,214.199,325.2134705
214.6,-0.097524,214.6,332.213562
215.05,-0.097868,215.066,330.7121277
215.4,-0.097524,215.4,330.0531921
215.85,-0.097866,215.866,326.9786072
216.2,-0.097524,216.199,322.289978
216.6,-0.097698,216.6,324.9830933
217,-0.097698,217,322.4487
217.4,-0.097698,217.4,326.0617981
217.85,-0.097696,217.866,331.2707214
218.2,-0.097698,218.199,332.7407227
218.65,-0.097517,218.666,332.1373596
219,-0.09787,219,333.1902771
219.45,-0.097868,219.466,331.0557556
219.8,-0.09804,219.8,326.1521606
220.15,-0.098038,220.133,326.2637329
220.55,-0.097868,220.533,321.8071594
220.95,-0.098556,220.933,324.0736389
221.35,-0.098212,221.333,320.9854431
221.65,-0.098728,221.666,324.0358276
222.05,-0.098384,222.066,322.1256104
222.45,-0.099072,222.466,324.0088196
222.85,-0.098728,222.866,320.9411621
223.2,-0.0989,223.199,323.3968201
223.65,-0.098898,223.666,320.7749939
224.2,-0.099244,224.199,319.6336365
224.55,-0.099416,224.533,319.762207
224.95,-0.099072,224.933,318.0292358
225.25,-0.099586,225.266,318.6791382
225.75,-0.099416,225.733,315.7067871
226.05,-0.099932,226.066,319.0449524
226.55,-0.099588,226.533,317.3872681
226.95,-0.099932,226.933,319.7398682
227.35,-0.09976,227.333,317.324585
227.75,-0.099762,227.733,318.4139404
228.15,-0.100104,228.133,316.8678284
228.55,-0.09976,228.533,315.9491272
228.95,-0.100276,228.933,314.4177856
229.35,-0.09993,229.333,312.2854919
229.8,-0.100448,229.8,314.2775879
230.15,-0.100276,230.133,312.7481995
230.55,-0.10062,230.533,315.1742859
230.95,-0.10045,230.933,313.4977112
231.35,-0.100794,231.333,315.7010193
231.75,-0.100448,231.733,313.9791565
232.15,-0.100443,232.133,314.4119263
232.45,-0.10062,232.466,312.3924561
232.95,-0.100622,232.933,312.3033447
233.25,-0.100964,233.266,311.8925476
233.75,-0.10062,233.733,311.70755
234.05,-0.101136,234.066,311.8507996
234.45,-0.100964,234.466,310.8923645
234.85,-0.10148,234.866,312.4577332
235.25,-0.101136,235.266,311.659729
235.65,-0.101129,235.666,312.4458618
236.05,-0.101308,236.066,310.5067444
236.4,-0.101482,236.4,310.5550232
236.8,-0.10148,236.8,309.2567749
237.2,-0.10148,237.199,309.5796814
237.6,-0.101652,237.6,308.5161743
238,-0.101652,238,308.9757996
238.4,-0.101824,238.4,308.3010559
238.8,-0.101826,238.8,309.1591187
239.2,-0.101652,239.199,309.6405029
239.6,-0.101824,239.6,309.6405029
240,-0.101824,240,309.5005493
240.4,-0.101996,240.4,308.3072205
242.75,-0.101996,242.733,305.1696472
242.95,-0.10251,242.933,305.9324646
243.2,-0.102514,243.199,306.0831604
243.45,-0.102342,243.466,305.3656006
243.75,-0.10234,243.733,306.1270752
244,-0.102512,244,306.0831604
244.35,-0.102512,244.333,306.3463745
244.75,-0.102335,244.733,306.3088074
245,-0.102512,245,305.5359497
245.45,-0.102512,245.466,305.5233459
245.85,-0.102682,245.866,304.9733887
246.25,-0.102512,246.266,304.0314941
246.75,-0.103028,246.733,304.4143066
247.05,-0.102684,247.066,304.3888245
247.55,-0.102679,247.533,304.7767639
247.85,-0.102684,247.866,304.2995911
248.25,-0.102856,248.266,304.8338623
248.65,-0.102856,248.666,304.2294312
249.15,-0.102858,249.133,304.5670471
249.45,-0.103028,249.466,303.7563171
249.95,-0.102856,249.933,303.8907776
250.25,-0.102682,250.266,303.7050171
250.65,-0.103028,250.666,303.506134
251,-0.102856,251,303.2167358
251.45,-0.1032,251.466,303.158783
251.8,-0.103026,251.8,303.5317993
252.25,-0.1032,252.266,303.4354553
252.65,-0.103372,252.666,303.7947388
253.05,-0.10303,253.066,302.9395142
253.45,-0.103546,253.466,303.1201172
253.85,-0.103028,253.866,302.5709229
254.25,-0.103544,254.266,302.506134
254.65,-0.1032,254.666,302.0710144
255.05,-0.103195,255.066,302.246582
255.4,-0.103372,255.4,301.8951721
255.85,-0.1032,255.866,302.4413147
256.2,-0.103544,256.199,302.4218445
256.6,-0.103372,256.6,302.7327576
257,-0.103716,257,302.4996643
257.4,-0.103372,257.4,302.7133484
257.8,-0.10337,257.8,302.3374939
258.2,-0.103544,258.199,301.9472961
258.6,-0.103716,258.6,301.9472961
259,-0.103716,259,301.6210632
259.35,-0.103716,259.333,301.6668091
259.75,-0.103372,259.733,301.6145325
260.05,-0.103888,260.066,301.7125244
260.45,-0.103542,260.466,301.8495483
260.8,-0.10406,260.8,301.9863892
261.2,-0.103716,261.199,301.7190552
261.6,-0.103716,261.6,302.0905457
262,-0.103888,262,301.6210632
262.45,-0.103716,262.466,301.8104248
262.8,-0.103888,262.8,301.3986816
263.35,-0.103716,263.333,301.372467
263.75,-0.10406,263.733,301.182373
264.15,-0.103716,264.133,301.0970459
264.6,-0.103883,264.6,301.1889343
264.95,-0.10406,264.933,301.0707703
265.35,-0.104062,265.333,301.3135071
265.65,-0.104058,265.666,301.1626892
266.05,-0.10406,266.066,301.1954956
266.45,-0.103888,266.466,300.89328
266.85,-0.104234,266.866,300.9590759
267.25,-0.10389,267.266,300.5638428
267.8,-0.10406,267.8,300.7089233
268.15,-0.103886,268.133,300.5638428
268.55,-0.104234,268.533,300.6034241
268.85,-0.10406,268.866,300.5704346
269.25,-0.103888,269.266,300.6430054
269.65,-0.104232,269.666,300.6759644
270.05,-0.104062,270.066,300.6298218
270.45,-0.103881,270.466,300.6891479
270.8,-0.10406,270.8,300.5836487
271.2,-0.10406,271.199,300.4780273
271.6,-0.104232,271.6,300.2796936
272,-0.104232,272,300.1539001
272.4,-0.103881,272.4,300.067749
272.8,-0.104404,272.8,299.9417114
273.15,-0.10406,273.133,299.9549866
273.6,-0.104404,273.6,299.8952332
273.95,-0.104234,273.933,300.067749
274.4,-0.104404,274.4,300.2267456
274.75,-0.104232,274.733,300.1671753
275.2,-0.10406,275.199,300.067749
275.6,-0.104404,275.6,299.9483643
275.95,-0.104234,275.933,299.7290955
276.35,-0.104055,276.333,299.6359253
276.75,-0.104232,276.733,299.6758728
277.2,-0.104232,277.199,299.5426941
277.55,-0.104232,277.533,299.4960632
278,-0.104404,278,299.589325
278.35,-0.104055,278.333,299.5760193
278.8,-0.104404,278.8,299.5560303
279.2,-0.10406,279.199,299.4160461
279.6,-0.104404,279.6,299.4026794
280,-0.104232,280,299.4093628
280.4,-0.104055,280.4,299.2491455
280.75,-0.104404,280.733,299.1889954
281.2,-0.104234,281.199,299.2290955
281.6,-0.104576,281.6,299.3559875
282,-0.104232,282,299.4827271
282.4,-0.104225,282.4,299.4293823
282.8,-0.104404,282.8,299.2290955
283.2,-0.104404,283.199,299.2625122
283.6,-0.104404,283.6,299.182312
